,,Objeto_Almejado,Preensão_Esperada,Preensão_Classificada,Angulação_Esperada,Angulação_Obtida,Tempo_Gasto,Objeto_Escorregou
BLOCO1,0,Carteira,Power,52,52,P 27.6,19.16,S
BLOCO1,1,Caneca,Power,P,-45,1.6,14.74,N
BLOCO1,2,Parafuso,Tripod,T,-32,-31.7,18.26,S
BLOCO1,3,Escova de dentes,Tripod,T,-36,-34.5,16.33,N
BLOCO2,0,Escova de dentes,Tripod,T,-83,-74.3,9.57,N
BLOCO2,1,Lâmpada,Power,T,71,38.4,12.43,N
BLOCO2,2,Caneca,Power,T,41,57.4,22.05,N
BLOCO2,3,Chave fixa,Tripod,T,60,53,18.9,N
BLOCO3,0,Caneca,Power,T,-5,0,10.88,N
BLOCO3,1,Lâmpada,Power,P,-90,66.5,30.62,N
BLOCO3,2,Chave de fenda,Tripod,T,65,61.1,19.37,N
BLOCO3,3,Colher,Tripod,T,-11,-9.7,16.53,S
BLOCO4,0,Parafuso,Tripod,T,-2,2.2,10.57,N
BLOCO4,1,Caneca,Power,T,83,0,17.5,S
BLOCO4,2,Chave de fenda,Tripod,T,22,10.2,15.79,N
BLOCO4,3,Phone,Power,P,-48,-43.6,13.36,N
BLOCO5,0,Laranja,Power,T,51,-25.9,17.22,S
BLOCO5,1,Caneca,Power,T,-88,51.7,58.45,N
BLOCO5,2,Chave de fenda,Tripod,T,-38,-35.3,11.28,S
BLOCO5,3,Chave fixa,Tripod,T,-5,0,24.33,N
